solution_name;vendor_name;vendor_URL;vendor_description
Predictive Maintenance Platforms;Auto Assist Group;https://autoassistgroup.com/the-importance-of-ev-predictive-maintenance-for-your-electric-vehicle/;Auto Assist Group specializes in predictive maintenance solutions tailored for electric vehicle fleets to enhance uptime and reliability.
AR for EV Maintenance and Training;Taqtile;https://taqtile.com/case-studies/augmented-reality-maintenance-training/;Taqtile provides augmented reality training and maintenance support, enabling hands-on, immersive learning for industrial teams.
AR for EV Maintenance and Training;Scope AR;https://www.scopear.com/;Scope AR offers augmented reality remote assistance and training solutions that enable real-time expert support in maintenance tasks.
AR for EV Maintenance and Training;Vrowl;https://www.vrowl.io/portfolio/educam-electrical-car-training/;Vrowl delivers AR-based training platforms designed to educate and upskill technicians in the electrical and automotive sectors.
AI for Traffic and Energy Management;PTV;https://www.ptvgroup.com/en/products/traffic-management-software-ptv-optima;PTV Group develops traffic management and transport planning software to optimize urban mobility and reduce congestion.
AI for Traffic and Energy Management;IBM;https://www.ibm.com/smarterplanet/us/en/traffic_congestion/nextsteps/solution.html;IBM provides smart traffic management solutions that leverage data analytics and IoT to reduce urban congestion.
AI for Traffic and Energy Management;Siemens;https://press.siemens.com/global/en/pressrelease/siemens-mobility-showcases-solutions-reduce-traffic-congestion;Siemens Mobility offers integrated solutions to manage and reduce traffic congestion through smart infrastructure and analytics.
Incentive-Based Ride-Sharing Systems;Blablacar;https://www.blablacar.com/;Blablacar is a long-distance carpooling platform that connects drivers with spare seats to passengers traveling similar routes.
Incentive-Based Ride-Sharing Systems;Scoop;https://www.takescoop.com/;Scoop is a commuter ride-sharing service that provides safe and reliable carpooling options for employees.
Incentive-Based Ride-Sharing Systems;Via;https://ridewithvia.com/;Via is a shared mobility technology provider that optimizes on-demand transit and dynamic ride-sharing through smart routing.
AI-Powered Demand Prediction;Uber;https://www.uber.com/;Uber is a global mobility platform offering ride-hailing, delivery, and freight services through its extensive network.
AI-Powered Demand Prediction;Lyft;https://www.lyft.com/;Lyft is a ride-sharing service that focuses on sustainable and community-driven transportation solutions.
AI-Powered Demand Prediction;Bolt;https://bolt.eu/en-se/;Bolt provides ride-hailing, micromobility, and food delivery services, emphasizing efficiency and affordability in urban travel.
Autonomous Ride-Sharing Vehicles;Waymo;https://waymo.com/;Waymo develops cutting-edge autonomous driving technology, pioneering the development of self-driving taxis and vehicles.
Autonomous Ride-Sharing Vehicles;Cruise;https://getcruise.com/;Cruise is focused on developing autonomous vehicle technology to provide safe, self-driving urban transportation.
Autonomous Ride-Sharing Vehicles;Uber;https://www.uber.com/;Uber is a global mobility platform offering ride-hailing, delivery, and freight services through its extensive network.
Smart Route Optimization Tools;Route4Me;https://www.route4me.com/;Route4Me offers route planning software that optimizes delivery and service routes for logistics and field operations.
Smart Route Optimization Tools;OptimoRoute;https://optimoroute.com/;OptimoRoute provides route optimization and scheduling software designed to enhance last-mile delivery and service fleet efficiency.
Smart Route Optimization Tools;MyRouteOnline;https://www.myrouteonline.com/;MyRouteOnline delivers online route planning and optimization solutions to help businesses streamline their logistics operations.
Shared Micromobility Services;Lime;https://www.li.me/;Lime operates a network of electric scooters and bikes, offering micro-mobility solutions for efficient urban transportation.
Shared Micromobility Services;Bird;https://www.bird.co/;Bird is a leading electric scooter sharing company that provides eco-friendly urban transportation options.
Shared Micromobility Services;Spin;https://www.spin.app/;Spin offers electric scooter rentals focused on delivering sustainable and convenient urban micro-mobility.
Geofencing for Ride-Sharing Efficiency;Uber;https://www.uber.com/no/nb/mobilityv3mobile/;Uber provides localized ride-hailing and mobility solutions tailored to specific regional markets.
Geofencing for Ride-Sharing Efficiency;Ridecell;https://ridecell.com/;Ridecell develops a comprehensive mobility platform that automates fleet management, car-sharing, and autonomous vehicle operations.
Geofencing for Ride-Sharing Efficiency;Zonar Systems;https://www.zonarsystems.com/;Zonar Systems offers fleet management and telematics solutions that provide real-time tracking and diagnostics for commercial vehicles.
Personalized Mobility Recommendations;Moovit;https://moovitapp.com/;Moovit is a mobility-as-a-service platform offering transit planning, real-time tracking, and multi-modal journey optimization.
Personalized Mobility Recommendations;Citymapper;https://citymapper.com/;Citymapper delivers multi-modal trip planning and real-time transit data to help users navigate urban environments efficiently.
Personalized Mobility Recommendations;Transit;https://transitapp.com/;Transit is a mobile app that provides real-time public transit tracking and journey planning across multiple transport modes.
Mobility-as-a-Service (MaaS) Platforms;Whim;https://whimapp.com/;Whim is a mobility-as-a-service app that integrates various transportation options into one subscription-based platform for seamless travel.
Mobility-as-a-Service (MaaS) Platforms;Citymapper;https://citymapper.com/;Citymapper delivers multi-modal trip planning and real-time transit data to help users navigate urban environments efficiently.
Mobility-as-a-Service (MaaS) Platforms;Moovit;https://moovitapp.com/;Moovit is a mobility-as-a-service platform offering transit planning, real-time tracking, and multi-modal journey optimization.
On-Demand Public Transportation;Swiftly;https://www.goswift.ly/;Swiftly provides transit data analytics and optimization tools to help public transportation agencies improve service and passenger flow.
On-Demand Public Transportation;Trapeze Group;https://www.trapezegroup.com/scheduling-rail;Trapeze Group offers advanced scheduling software tailored for rail and public transit operations.
On-Demand Public Transportation;Optibus;https://optibus.com/product/scheduling/;Optibus uses AI-powered scheduling to optimize public transit operations and workforce planning for transit agencies.
Virtual Coworking Spaces;Kumospace;https://www.kumospace.com;Kumospace creates engaging virtual environments for online meetings and social events with spatial video chat.
Virtual Coworking Spaces;Focusmate;https://www.focusmate.com;Focusmate is a virtual coworking platform that pairs users for live, accountability-focused work sessions.
Virtual Coworking Spaces;Butter;https://www.butter.us;Butter offers interactive video meeting tools designed to facilitate collaboration and creativity in remote teams.
Automated Workflow & Integration Tools;Make (Integromat);https://www.make.com;Make (formerly Integromat) is a no-code automation platform that connects apps and automates complex workflows.
Automated Workflow & Integration Tools;Zapier;https://www.zapier.com;Zapier automates tasks between web apps, enabling businesses to streamline workflows without coding.
Automated Workflow & Integration Tools;Workato;https://www.workato.com;Workato provides enterprise-grade automation solutions that integrate apps and automate business processes.
Bike-Sharing Platforms;Lime;https://www.li.me;Lime operates a network of electric scooters and bikes, offering micro-mobility solutions for efficient urban transportation.
Bike-Sharing Platforms;Anywheel;https://www.anywheel.sg/;Anywheel offers electric bike-sharing and scooter services tailored for urban commuters in Singapore.
Bike-Sharing Platforms;Lyft;https://www.lyft.com/bikes;Lyft Bikes provides bike-sharing services as part of Lyft’s broader commitment to sustainable urban mobility.
E-Bike Subscription Services;Swapfiets;https://www.swapfiets.com;Swapfiets is a subscription-based bike rental service that offers maintenance-free bicycles for urban commuting.
E-Bike Subscription Services;Dance;https://www.dance.co;Dance delivers electric bike-sharing solutions focused on sustainable and efficient urban transportation.
E-Bike Subscription Services;Zoomo;https://www.ridezoomo.com;Zoomo provides electric cargo bikes and fleet solutions designed for last-mile commercial deliveries.
Micromobility Hubs;Swiftmile;https://www.swiftmile.com;Swiftmile develops smart docking and charging systems for e-bikes and scooters to enhance micro-mobility infrastructure.
Micromobility Hubs;CityDock;https://citydock.ro/;CityDock offers smart bike docking and parking solutions that streamline urban micro-mobility and reduce theft.
Micromobility Hubs;Bikeep;https://www.bikeep.com;Bikeep provides secure, IoT-enabled smart bike parking solutions that monitor and protect bicycles in urban areas.
Smart Bike Locks & Anti-Theft Tech;LINKA;https://www.linkalock.com;LINKA manufactures high-security smart bike locks with connected tracking technology for urban cyclists.
Smart Bike Locks & Anti-Theft Tech;ILOCKIT;https://ilockit.bike;ILOCKIT delivers innovative bike lock solutions that integrate digital security and tracking for enhanced bicycle safety.
Smart Bike Locks & Anti-Theft Tech;Invoxia Bike Tracker;https://www.invoxia.com;Invoxia Bike Tracker offers GPS-enabled tracking devices designed to help cyclists monitor and secure their bikes.
AI-Powered Route Planning for Cyclists;CycleAI;https://cycleai.net;CycleAI leverages artificial intelligence to optimize bike fleet management and provide data-driven insights for shared mobility.
AI-Powered Route Planning for Cyclists;Cyclers;https://cyclers.tech;Cyclers develops smart bike-sharing systems and fleet management technology to support urban cycling networks.
AI-Powered Route Planning for Cyclists;Sherpa-Map;https://sherpa-map.com;Sherpa-Map provides navigation and mapping solutions tailored for cyclists, offering optimized and safe route planning.
E-Bike Charging Stations;Saris Infrastructure;https://www.sarisinfrastructure.com;Saris Infrastructure designs and manufactures advanced bike parking and storage systems for urban settings.
E-Bike Charging Stations;bike-energy;https://bike-energy.com/en/;bike-energy offers smart energy management systems for e-bikes, integrating monitoring technology to optimize performance.
E-Bike Charging Stations;ParkENT Cycles;https://www.parkentcycles.com;ParkENT Cycles delivers integrated cycling solutions including fleet management and smart bike parking systems.
Walkability & Cycling Score Apps;Walk Score;https://www.walkscore.com;Walk Score measures neighborhood walkability and transit accessibility, helping users evaluate urban livability.
Walkability & Cycling Score Apps;Footpath;https://footpathapp.com/;Footpath is a mobile app that provides personalized walking route suggestions and navigation based on user preferences.
Walkability & Cycling Score Apps;PeopleForBikes (City Ratings);https://cityratings.peopleforbikes.org;PeopleForBikes offers data-driven city ratings that evaluate and promote bike-friendly urban infrastructure.
Incentive-Based Walking & Cycling Apps;Sweatcoin;https://www.sweatcoin.com;Sweatcoin is a digital rewards app that converts physical activity into a currency redeemable for goods and services.
Incentive-Based Walking & Cycling Apps;BetterPoints;https://www.betterpoints.uk;BetterPoints is a rewards platform that incentivizes sustainable behaviors by awarding points for eco-friendly actions.
Incentive-Based Walking & Cycling Apps;Charity Miles;https://www.charitymiles.org;Charity Miles is a fitness app that donates to charity based on the distance users walk, run, or bike.
Smart Pedestrian Crosswalks;Bercman Technologies;https://www.bercman.com;Bercman Technologies delivers technology solutions focused on enhancing transportation and logistics operations.
Smart Pedestrian Crosswalks;isbak;https://www.isbak.istanbul/en/intelligent-transportation-systems/electronic-detection-systems/pedestrian-crossing/;isbak develops intelligent transportation systems including electronic detection for pedestrian crossings to improve urban safety.
Smart Pedestrian Crosswalks;TAPCO;https://www.tapconet.com;TAPCO designs and manufactures innovative transportation control and signaling systems to enhance road safety.
Bike-to-Work Digital Subsidies;Luum (HealthEquity);https://www.luum.com;Luum offers digital health solutions focused on employee wellness and health equity through smart analytics.
Bike-to-Work Digital Subsidies;RideAmigos (CommuteHub);https://www.rideamigos.com;RideAmigos provides commute optimization and transportation planning software to help organizations reduce carbon footprints.
Bike-to-Work Digital Subsidies;PaveCommute;https://pavecommute.app/;PaveCommute is a commuter mobility platform that helps employers optimize employee transportation and reduce congestion.
Connected Bike Helmets & Safety Gear;Lumos Helmet;https://ridelumos.com/;Lumos Helmet integrates smart safety features like built-in lights and turn signals into bicycle helmets for enhanced rider visibility.
Connected Bike Helmets & Safety Gear;Livall;https://www.livall.com;Livall designs smart bicycle helmets and wearable technology to improve safety and connectivity for cyclists.
Connected Bike Helmets & Safety Gear;Sena;https://www.sena.com;Sena specializes in wearable communication devices for motorcyclists, offering advanced intercom and connectivity solutions.
Autonomous Bike Lane Monitoring;Vivacity Labs;https://vivacitylabs.com;Vivacity Labs develops AI-powered traffic analytics systems that use computer vision to improve urban traffic management.
Autonomous Bike Lane Monitoring;Eco-Counter;https://www.eco-counter.com;Eco-Counter provides pedestrian and bicycle counting solutions that help cities gather data for transportation planning.
Autonomous Bike Lane Monitoring;Miovision;https://www.miovision.com;Miovision delivers intelligent traffic analytics and infrastructure optimization solutions using advanced sensor and camera technology.
E-Bike Integration with Public Transit;Moovit;https://www.moovit.com;Moovit is a mobility-as-a-service platform offering real-time transit data and journey planning for public transportation users.
E-Bike Integration with Public Transit;Transit App;https://www.transitapp.com;Transit App offers real-time public transportation information and multi-modal journey planning to simplify urban travel.
E-Bike Integration with Public Transit;MaaS Global (Whim);https://whimapp.com;MaaS Global powers the Whim app, an all-in-one mobility platform that integrates public transit, ride-hailing, and other transport modes under one subscription.
Crowdsourced Walking & Biking Safety Reports;BikeMaps.org;https://www.bikemaps.org;BikeMaps.org is a crowdsourced mapping platform that collects and visualizes bicycle infrastructure and usage data worldwide.
Crowdsourced Walking & Biking Safety Reports;Safetipin;https://www.safetipin.com;Safetipin provides safety mapping tools that assess and rate the safety and accessibility of urban areas for pedestrians and cyclists.
Crowdsourced Walking & Biking Safety Reports;Street Story;https://streetstory.berkeley.edu;Street Story is a digital storytelling platform that documents urban streetscapes and informs better city planning through qualitative insights.
Wearable Fitness & Activity Trackers;Fitbit;https://www.fitbit.com;Fitbit designs wearable fitness trackers and smartwatches that monitor physical activity, health metrics, and sleep patterns.
Wearable Fitness & Activity Trackers;Garmin;https://www.garmin.com;Garmin develops GPS navigation and wearable devices that serve outdoor enthusiasts, athletes, and everyday users with precise tracking.
Wearable Fitness & Activity Trackers;Apple Watch;https://www.apple.com/watch;Apple Watch is a smartwatch that integrates health, fitness, and connectivity features, seamlessly linking with Apple’s ecosystem.
Augmented Reality (AR) for Pedestrian & Bike Safety;Google Maps Live View;https://maps.google.com;Google Maps Live View uses augmented reality to overlay directions onto the real world, enhancing navigation for pedestrians.
Augmented Reality (AR) for Pedestrian & Bike Safety;Serpentine;https://www.serpentine.vc/blog/aigis-rider-cutting-edge-augmented-reality-for-motorcyclists/;Serpentine shares insights on venture trends and emerging tech, including AR innovations for motorcyclists.
Augmented Reality (AR) for Pedestrian & Bike Safety;HUDWAY;https://www.hudway.co;HUDWAY develops augmented reality heads-up displays that enhance driver navigation and safety by projecting real-time information.
Hydrogen Fuel Cell Fleet Management Software;Hyfindr;https://hyfindr.com/en/shop/products/fuel-cell-modelling-and-control-software-development-services;Hyfindr specializes in fuel cell modeling and control software to optimize hydrogen-powered system performance.
Hydrogen Fuel Cell Fleet Management Software;Ridecell;https://ridecell.com/;Ridecell develops a comprehensive mobility platform that automates fleet management and enables efficient car-sharing and autonomous services.
Hydrogen Fuel Cell Fleet Management Software;Fleet Complete;https://www.fleetcomplete.com/;Fleet Complete provides integrated fleet management solutions combining GPS tracking, telematics, and analytics for commercial vehicles.
Vehicle Retrofitting Cost Estimation Tools;Fuel2Electric;https://www.fuel2electric.com/calculator;Fuel2Electric offers conversion calculators and advisory tools to help fleets transition from fossil fuels to electric power.
Real-Time Emissions Monitoring for Alternative Fuel Vehicles;High Mobility;https://www.high-mobility.com/activities/carbon-footprint;High Mobility provides connectivity and data solutions for vehicles, enabling integration of digital services into automotive platforms.
Real-Time Emissions Monitoring for Alternative Fuel Vehicles;Azuga;https://www.azuga.com/;Azuga offers GPS fleet tracking and management solutions that help businesses optimize routes, reduce fuel costs, and improve safety.
Real-Time Emissions Monitoring for Alternative Fuel Vehicles;Samsara;https://www.samsara.com/;Samsara offers IoT-based fleet management solutions with real-time vehicle tracking and comprehensive operational analytics.
Smart Biofuel Blending Optimization;Honeywell UOP;https://uop.honeywell.com/;Honeywell UOP provides process technology and catalysts for refining and chemical industries, including solutions for fuel production.
Smart Biofuel Blending Optimization;Emerson Automation Solutions;https://www.emerson.com/en-us/automation-solutions;Emerson Automation Solutions delivers control and automation technologies to improve industrial process efficiency and safety.
Smart Biofuel Blending Optimization;Yokogawa Electric Corporation;https://www.yokogawa.com/;Yokogawa Electric Corporation offers industrial automation, test and measurement solutions, and control systems across diverse sectors.
Hydrogen and Biofuel Refueling Network Expansion Planning;Fountain Fuel;https://fountainfuel.com/en/;Fountain Fuel develops automated fuel dispensing and payment systems that streamline fueling operations for fleets and consumers.
Hydrogen and Biofuel Refueling Network Expansion Planning;HRS;https://www.hydrogen-refueling-solutions.fr/en/;HRS provides hydrogen refueling solutions, designing and implementing infrastructure for hydrogen-powered vehicles.
Automated Biofuel Quality Testing Systems;PAC L.P.;https://www.paclp.com/;PAC L.P. manufactures engineered hydrogen fueling systems and components to support the growing hydrogen energy market.
Automated Biofuel Quality Testing Systems;Thermo Fisher;https://www.thermofisher.com/blog/analyteguru/automating-biodiesel-quality-testing-with-gas-chromatography-gc/;Thermo Fisher offers advanced analytical instruments and automation solutions, including systems for biodiesel quality testing.
Smart Hydrogen Storage & Distribution Management;Air Liquide;https://www.airliquide.com/group/activities/hydrogen;Air Liquide supplies industrial gases and technologies, with a strong focus on hydrogen production and fueling solutions for clean energy.
Smart Hydrogen Storage & Distribution Management;Linde Group;https://www.linde.com/;Linde Group provides industrial gases and engineering solutions that support manufacturing, healthcare, and energy applications worldwide.
Smart Hydrogen Storage & Distribution Management;Hexagon Purus;https://hexagonpurus.com/;Hexagon Purus develops high-pressure hydrogen storage systems and related technologies for fuel cell and hydrogen applications.
Dynamic Load Matching Platforms;Convoy;https://convoy.com/;Convoy is a digital freight network that connects shippers with carriers using technology to optimize logistics and reduce waste.
Dynamic Load Matching Platforms;Uber Freight;https://www.uberfreight.com/;Uber Freight offers a digital platform that matches truck drivers with shipping loads, streamlining freight logistics and reducing empty miles.
Dynamic Load Matching Platforms;Loadsmart;https://loadsmart.com/;Loadsmart leverages AI and data analytics to optimize freight shipping by efficiently matching carriers with shippers.
AI-Powered Cargo Optimization Software;Transmetrics;https://www.transmetrics.ai/;Transmetrics uses artificial intelligence to forecast demand and optimize freight logistics for improved efficiency.
AI-Powered Cargo Optimization Software;CargoNet;https://cargonetai.com/;CargoNet provides AI-powered freight analytics and optimization solutions to enable smarter transportation planning.
AI-Powered Cargo Optimization Software;Flox;https://www.flox.is/;Flox offers data-driven logistics solutions using AI to improve freight management and optimize transportation routes.
Backhaul Optimization Tools;C.H. Robinson;https://www.chrobinson.com/;C.H. Robinson is a global third-party logistics provider offering comprehensive supply chain solutions including freight transportation and warehousing.
Backhaul Optimization Tools;J.B. Hunt Transport Services;https://www.jbhunt.com/;J.B. Hunt Transport Services is a major logistics company providing truckload, intermodal, and dedicated transportation services.
Backhaul Optimization Tools;DAT Solutions;https://www.dat.com/;DAT Solutions operates one of the largest freight load boards, connecting carriers and shippers with real-time market data.
Integrated Freight Management Systems;Oracle Transportation Management;https://www.oracle.com/industries/automotive/;Oracle Transportation Management offers integrated software solutions to optimize transportation and logistics operations.
Integrated Freight Management Systems;SAP Transportation Management;https://www.sap.com/products/scm/transportation-logistics.html;SAP Transportation Management delivers enterprise software for planning, executing, and monitoring transportation logistics.
Integrated Freight Management Systems;Manhattan Associates;https://www.manh.com/;Manhattan Associates provides supply chain and omnichannel commerce software, including transportation management systems for efficient logistics.
Automated Load Balancing Systems;Logintext;https://www.loginextsolutions.com/products/haul/software-for-capacity-management-and-hub-load-balancing;Loginext develops advanced haul and capacity management software to optimize fleet logistics and load balancing.
Automated Load Balancing Systems;Goodloading;https://www.goodloading.com/en/;Goodloading offers a digital platform that optimizes truckload capacity management and improves freight efficiency for carriers.
Digital Freight Auctions;Freightos;https://www.freightos.com/;Freightos is an online freight marketplace that streamlines international shipping with real-time freight rates and booking.
Digital Freight Auctions;Freight Mango;https://www.freightmango.com/;Freight Mango provides a digital freight marketplace connecting shippers and carriers to optimize shipping logistics and reduce costs.
Digital Freight Auctions;Cargomatic;https://www.cargomatic.com/;Cargomatic connects local truckers with shippers through an online platform, simplifying urban freight logistics.
Light Truck Sharing Platforms;Fluid Truck;https://www.fluidtruck.com/;Fluid Truck offers digital fleet management solutions that deliver real-time tracking and operational insights for trucking companies.
Light Truck Sharing Platforms;GoShare;https://goshare.co/service/truck-sharing/;GoShare is a peer-to-peer trucking platform that connects truck owners with on-demand delivery and moving services.
Last-Mile Delivery Optimization;Onfleet;https://onfleet.com/;Onfleet provides last-mile delivery management software that optimizes dispatch, routing, and real-time tracking for delivery fleets.
Last-Mile Delivery Optimization;Routific;https://routific.com/;Routific offers route optimization software designed to improve efficiency and reduce costs for last-mile delivery operations.
Last-Mile Delivery Optimization;Bringg;https://www.bringg.com/;Bringg delivers a delivery logistics platform that connects retailers and logistics providers to streamline order fulfillment.
Smart Maintenance Systems for Light Trucks;Fleet Complete;https://www.fleetcomplete.com/;Fleet Complete offers comprehensive fleet management solutions combining GPS tracking, telematics, and analytics for commercial fleets.
Smart Maintenance Systems for Light Trucks;Samsara;https://www.samsara.com/;Samsara provides IoT-powered fleet management solutions with real-time tracking and data analytics to enhance operational efficiency.
Smart Maintenance Systems for Light Trucks;Geotab;https://www.geotab.com/;Geotab delivers advanced telematics and fleet tracking systems that enable data-driven vehicle management and safety.
Mobile Ticketing and Contactless Payments;Masabi;https://www.masabi.com;Masabi offers mobile ticketing and fare collection solutions that modernize public transit payment systems through digital technology.
Mobile Ticketing and Contactless Payments;Cubic Transportation Systems;https://www.cubic.com;Cubic Transportation Systems delivers integrated transit solutions including fare collection, real-time passenger information, and transportation planning.
Mobile Ticketing and Contactless Payments;Thales;https://www.thalesgroup.com/en/markets/digital-identity-and-security/banking-payment/transit/mobile-ticketing\;Thales provides mobile ticketing and digital identity solutions that ensure secure and seamless transit fare transactions.
Real-Time Transit Information Systems;Clever Devices;https://www.cleverdevices.com;Clever Devices designs smart parking and mobility management solutions with sensor integration and data analytics.
Real-Time Transit Information Systems;Swiftly;https://www.goswift.ly;Swiftly offers transit data analytics solutions that help public transportation agencies optimize service and passenger flow.
Real-Time Transit Information Systems;Trapeze Group;https://www.trapezegroup.com;Trapeze Group delivers software solutions for scheduling and managing public transportation, including rail and bus systems.
Integrated Payment Systems;Indra;https://www.indracompany.com;Indra is a global technology and consulting firm that provides smart mobility and transportation systems for cities and enterprises.
Integrated Payment Systems;Scheidt & Bachmann;https://www.scheidt-bachmann.de;Scheidt & Bachmann delivers integrated transportation management and tolling solutions for public transit and highway systems.
Integrated Payment Systems;Conduent Transportation;https://transportation.conduent.com;Conduent Transportation offers digital solutions for fare collection, fleet management, and transit operations.
AI-Powered Transit Demand Prediction;CitySwift;https://www.cityswift.com;CitySwift provides real-time transit management and scheduling software designed to optimize urban bus operations.
AI-Powered Transit Demand Prediction;Via (Remix);https://ridewithvia.com;Via Remix is an evolved transit platform offering dynamic routing and on-demand shared public transportation solutions.
AI-Powered Transit Demand Prediction;Optibus;https://www.optibus.com;Optibus uses AI-driven scheduling and planning to optimize public transit operations and improve service efficiency.
Personalized Travel Recommendation Apps;Moovit;https://www.moovit.com;Moovit delivers a mobility-as-a-service platform that provides real-time transit planning and multi-modal journey insights.
Personalized Travel Recommendation Apps;Citymapper;https://www.citymapper.com;Citymapper provides comprehensive urban transit planning with real-time updates and multi-modal navigation.
Personalized Travel Recommendation Apps;Transit App;https://transitapp.com;Transit App offers real-time public transportation tracking and journey planning to enhance urban mobility.
Digital Loyalty Programs for Public Transit;Miles;https://www.getmiles.com;Miles is a smart transportation platform that uses AI to optimize route planning and improve fleet logistics efficiency.
Digital Loyalty Programs for Public Transit;BetterPoints;https://www.betterpoints.uk;BetterPoints incentivizes eco-friendly behavior through a rewards platform that offers points for sustainable activities.
Digital Loyalty Programs for Public Transit;Axon Vibe (Sojo);https://www.axonvibe.com;Axon Vibe develops interactive mobile engagement solutions that help brands connect with consumers through digital experiences.
Autonomous Shuttles for Last-Mile Connectivity;Navya;https://www.navya.tech;Navya designs autonomous electric shuttles and vehicles, pioneering safe and sustainable driverless mobility solutions.
Autonomous Shuttles for Last-Mile Connectivity;EasyMile;https://www.easymile.com;EasyMile offers autonomous vehicle technology and software that enables self-driving shuttles for last-mile transportation.
Autonomous Shuttles for Last-Mile Connectivity;May Mobility;https://maymobility.com;May Mobility develops autonomous shuttle services and MaaS solutions to improve urban and suburban mobility.
Smart Parking Solutions;Smart Parking Ltd;https://www.smartparking.com;Smart Parking Ltd provides intelligent parking solutions, including automated management and real-time occupancy tracking.
Smart Parking Solutions;Bosch;https://www.bosch.com;Bosch is a global technology supplier offering automotive components, industrial solutions, and smart home products.
Smart Parking Solutions;Amano Corporation;https://www.amano.com;Amano Corporation delivers time and attendance, access control, and facility management solutions for businesses worldwide.
Cloud-Based Collaboration Tools;Microsoft (Office 365/Teams);https://www.microsoft.com;Microsoft Office 365 and Teams provide integrated productivity, collaboration, and communication tools for organizations.
Cloud-Based Collaboration Tools;Google (Workspace);https://workspace.google.com;Google Workspace offers cloud-based productivity and collaboration tools, including Gmail, Docs, and Drive.
Cloud-Based Collaboration Tools;Slack (Salesforce);https://slack.com;Slack is a digital collaboration platform that streamlines team communication and integrates with various productivity apps.
Virtual Meeting Platforms;Zoom;https://zoom.us;Zoom is a video communications platform offering high-quality virtual meeting, webinar, and conferencing solutions.
Virtual Meeting Platforms;Cisco Webex;https://www.webex.com;Cisco Webex provides enterprise-grade video conferencing and collaboration tools designed for secure, scalable online meetings.
