city_type;AI Chatbots and Virtual Assistants for Passenger Support;AI Optimization for Central Heating;AI Predictive Heat Pump Control;AI for Traffic and Energy Management;AI-Driven Retrofit Advisory Tools;AI-Enhanced Smart Shades & Dynamic Facades;AI-Powered Cargo Optimization Software;AI-Powered Demand Prediction;AI-Powered Route Planning for Cyclists;AI-Powered Transit Demand Prediction;AI-Powered Virtual Assistants;AR for EV Maintenance and Training;Advanced Telematics and Fleet Management;Augmented Reality (AR) for Pedestrian & Bike Safety;Automated Biofuel Quality Testing Systems;Automated Fault Detection and Diagnostics (AFDD);Automated Load Balancing Systems;Automated Ventilation & Night Purge Systems;Automated Workflow & Integration Tools;Autonomous Bike Lane Monitoring;Autonomous HVAC Optimization AI;Autonomous Ride-Sharing Vehicles;Autonomous Shuttles for Last-Mile Connectivity;Backhaul Optimization Tools;Battery Swapping Stations;Bike-Sharing Platforms;Bike-to-Work Digital Subsidies;Central Chiller Plant Optimization;Cloud-Based Collaboration Tools;Connected Bike Helmets & Safety Gear;Crowdsourced Walking & Biking Safety Reports;Cybersecurity & VPN Solutions;Data-Driven Air Sealing & Insulation;Digital Freight Auctions;Digital Loyalty Programs for Public Transit;Digital Twin & AI Retrofit Planning;Digital Wellness & Mental Health Platforms;Dynamic Load Matching Platforms;Dynamic Wireless Charging;E-Bike Charging Stations;E-Bike Integration with Public Transit;E-Bike Subscription Services;Electric Bike Fleet Management Software;Energy Monitoring & Tenant Feedback Apps;Geofencing for Ride-Sharing Efficiency;Grid-Interactive Thermal Networks;Home AI Energy Management Systems (HEMS);Hydrogen Fuel Cell Fleet Management Software;Hydrogen Refueling Station Mapping Apps;Hydrogen and Biofuel Refueling Network Expansion Planning;Incentive-Based Ride-Sharing Systems;Incentive-Based Walking & Cycling Apps;Integrated Freight Management Systems;Integrated Payment Systems;Intelligent Boiler/Furnace Controllers;IoT-Based Building Management Systems;Last-Mile Delivery Optimization;Light Truck Sharing Platforms;Micromobility Hubs;Mobile Charging Services;Mobile Ticketing and Contactless Payments;Mobility-as-a-Service (MaaS) Platforms;Motorized Smart Blinds/Shades;On-Demand Public Transportation;Open Data and API Integration for Transit;Personalized Mobility Recommendations;Personalized Travel Recommendation Apps;Plug & Charge Technology (ISO 15118);Predictive Maintenance & Diagnostics;Predictive Maintenance Platforms;Project Management Software;Real-Time Emissions Monitoring for Alternative Fuel Vehicles;Real-Time Transit Information Systems;Remote Desktop Solutions;Shared Micromobility Services;Smart Bike Locks & Anti-Theft Tech;Smart Biofuel Blending Optimization;Smart Ceiling Fans with Climate Sensors;Smart Charging Systems;Smart Grid Integration;Smart Hydrogen Storage & Distribution Management;Smart Learning Thermostats;Smart Maintenance Systems for Light Trucks;Smart Parking Solutions;Smart Pedestrian Crosswalks;Smart Radiator Retrofit Systems;Smart Route Optimization Tools;Smart Traffic Lights for Cyclists & Pedestrians;Smart Ventilation & Dehumidification;Smart Zoning and Room-by-Room Control;Time Tracking and Productivity Monitoring;Vehicle Retrofitting Cost Estimation Tools;Vehicle-to-Grid (V2G) Integration;Virtual Coworking Spaces;Virtual Meeting Platforms;Walkability & Cycling Score Apps;Wearable Fitness & Activity Trackers
TemperateDenseMiddle;;;;1;;;;8;;;;;;;;;;;;;;20;;;7;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;4;;6;;;;;;13;;;16;;15;;;;2;5;;;;21;;;12;;;;;;3;;;23;
TemperateDensePoor;;;;1;;;;7;;;;;;;;;;;;;;;23;;5;8;;;25;;;;;;;9;;;;19;13;;;;14;;;;;18;3;;;17;;22;;;15;;;;;6;;;;;;11;;;16;;10;;;;2;4;;;;20;;;12;;;;;;;;;21;
TemperateDenseRich;;;;1;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;13;;;;18;;;11;;24;;;;22;;;;;16;;;4;;6;;;;;;15;;;17;;14;;;;2;5;;;;21;;;12;;;;;;3;;;23;
TemperateSparseMiddle;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
TemperateSparsePoor;;;;3;;;;9;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;15;;;;19;12;;;;13;;;16;;11;5;;;20;;24;;;17;;;;;1;;;;;;10;;;18;;6;;;;2;7;;;;21;;;14;;;;;;;;;22;
TemperateSparseRich;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
TropicalSuburbanMiddle;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
TropicalSuburbanPoor;;;;3;;;;7;;;;;;;;;;;;;;;23;;5;8;;;25;;;;;;;9;;;;19;13;;;;14;;;;;18;5;;;17;;22;;;15;;;;;6;;;;;;11;;;16;;10;;;;2;4;;;;20;;;12;;;;;;;;;21;
TropicalSuburbanRich;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
TropicalDenseMiddle;;;;1;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;4;;6;;;;;;13;;;16;;15;;;;2;5;;;;21;;;12;;;;;;3;;;23;
TropicalDensePoor;;;;1;;;;7;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;9;;;;19;14;;;;13;;;;;18;3;;;17;;22;;;15;;;;;6;;;;;;11;;;16;;10;;;;2;5;;;;20;;;12;;;;;;;;;21;
TropicalDenseRich;;;;1;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;4;;6;;;;;;13;;;16;;15;;;;2;5;;;;21;;;12;;;;;;3;;;23;
TropicalSparseMiddle;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
TropicalSparsePoor;;;;3;;;;7;;;;;;;;;;;;;;;20;;10;8;;;25;;;;;;;9;;;;19;14;;;;18;;;;;23;4;;;17;;24;;;15;;;;;6;;;;;;13;;;16;;11;;;;2;5;;;;21;;;12;;;;;;;;;22;
TropicalSparseRich;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
PolarSuburbanMiddle;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;;;;;;13;;;;;;9;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;3;;;22;
PolarSuburbanPoor;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;3;;;;;13;;;;;;;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;;;;22;
PolarSuburbanRich;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;;;;;;13;;;;;;9;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;3;;;22;
PolarDenseMiddle;;4;;1;;;;8;;;;;;;;;;;;;;20;;;11;10;;;25;;;;;;;7;;;;19;14;;;;18;;;13;;;;;;23;;;;;17;;;9;;6;;;;;;16;;;22;;15;;;;2;5;;;;21;;;12;;;;;;3;;;24;
PolarDensePoor;;4;;1;;;;7;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;9;;;;19;14;;;;13;;;;;18;3;;;17;;22;;;15;;;;;6;;;;;;11;;;16;;10;;;;2;5;;;;20;;;12;;;;;;;;;21;
PolarSparseRich;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;;;;;;13;;;;;;9;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;3;;;22;
PolarDenseRich;;4;;1;;;;8;;;;;;;;;;;;;;20;;;11;10;;;25;;;;;;;7;;;;19;14;;;;18;;;13;;;;;;23;;;;;17;;;9;;6;;;;;;16;;;22;;15;;;;2;5;;;;21;;;12;;;;;;3;;;24;
PolarSparseMiddle;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;;;;;;13;;;;;;9;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;3;;;22;
PolarSparsePoor;;4;;5;;;;8;;;;;;;;;;;;;19;11;23;;7;;;;25;;;;;;;12;;;;17;15;;;;18;;;10;;21;3;;;;;13;;;;;;;;6;;;;;;16;;;;;;;;;2;1;;;;;;20;14;;;;;;;;;22;
TemperateSuburbanRich;;;;4;;;;7;;;;;;;;;;;;;;20;;;8;10;;;25;;;;;;;9;;;;19;14;;;;18;;;11;;24;;;;22;;;;;17;;;5;;6;;;;;;13;;;16;;15;;;;2;1;;;;21;;;12;;;;;;3;;;23;
